packetGen Network.nodeTx.gen (#0 - General-0-20250512-20:54:24-4975),,bufferSize Network.nodeTx.queue (#0 - General-0-20250512-20:54:24-4975),,bufferSize Network.queue (#0 - General-0-20250512-20:54:24-4975),,bufferSize Network.nodeRx.queue (#0 - General-0-20250512-20:54:24-4975),,Delay Network.nodeRx.sink (#0 - General-0-20250512-20:54:24-4975),,packetUsed Network.nodeRx.sink (#0 - General-0-20250512-20:54:24-4975),
0.795874504566,1,0.795874504566,1,0.895974504566,1,1.095974504566,1,1.295974504566,0.500099999999999987,1.295974504566,1
1.69443489305,1,1.69443489305,1,1.79453489305,1,1.99453489305,1,2.19453489305,0.500099999999999987,2.19453489305,1
2.950365651097,1,2.950365651097,1,3.050465651097,1,3.250465651097,1,3.450465651097,0.500099999999999987,3.450465651097,1
4.809969863172,1,4.809969863172,1,4.910069863172,1,5.110069863172,1,5.310069863172,0.500099999999999987,5.310069863172,1
5.733192994643,1,5.733192994643,1,5.833292994643,1,6.033292994643,1,6.233292994643,0.500099999999999987,6.233292994643,1
7.684738330527,1,7.684738330527,1,7.784838330527,1,7.984838330527,1,8.184838330527,0.500099999999999987,8.184838330527,1
8.471939470509,1,8.471939470509,1,8.572039470509,1,8.772039470509,1,8.972039470509,0.500099999999999987,8.972039470509,1
10.350903524712,1,10.350903524712,1,10.451003524712,1,10.651003524712,1,10.851003524712,0.500099999999999987,10.851003524712,1
10.901952011382,1,10.901952011382,1,11.002052011382,1,11.202052011382,1,11.402052011382,0.500099999999999987,11.402052011382,1
11.878958437775,1,11.878958437775,1,11.979058437775,1,12.179058437775,1,12.379058437775,0.500099999999999987,12.379058437775,1
12.917117738439,1,12.917117738439,1,13.017217738439,1,13.217217738439,1,13.417217738439,0.500099999999999987,13.417217738439,1
13.402245902161,1,13.402245902161,1,13.502345902161,1,13.702345902161,1,13.902345902161,0.500099999999999987,13.902345902161,1
13.977765099044,1,13.977765099044,1,14.077865099044,1,14.277865099044,1,14.477865099044,0.500099999999999987,14.477865099044,1
14.330924238182,1,14.330924238182,1,14.431024238182,1,14.631024238182,1,14.831024238182,0.500099999999999987,14.831024238182,1
16.554448660218,1,16.554448660218,1,16.654548660218,1,16.854548660218,1,17.054548660218,0.500099999999999987,17.054548660218,1
16.612833329311,1,16.612833329311,1,16.754548660218,1,17.054548660218,1,17.254548660218,0.641715330906999834,17.254548660218,1
19.927745609239,1,19.927745609239,1,20.027845609239,1,20.227845609239,1,20.427845609239,0.500099999999999987,20.427845609239,1
20.246101750081,1,20.246101750081,1,20.346201750081,1,20.546201750081,1,20.746201750081,0.500099999999999987,20.746201750081,1
20.729703855029,1,20.729703855029,1,20.829803855029,1,21.029803855029,1,21.229803855029,0.500099999999999987,21.229803855029,1
